"","510","520","530","550","560","570","610","620","630","700","dye","sample","pH","well_plate_96_num","well_plate_96_index","well_plate_384_num","well_plate_384_index","plate_number","media","norm_pH"
"1",0.449033331669473,0.461832381503282,0.453299681614076,0.41010288842497,0.367439388978939,0.275179571426898,0.0207984559799399,0.0127990498338092,0.00853269988920613,0.0031997624584523,"universal",1,3.89,1,"A1",2,"A2",8,"THY",-0.444285714285714
"2",0.448204538850435,0.461025034812976,0.452307097558448,0.410255870801314,0.368717463882681,0.276409892952385,0.0261538117635837,0.0184615141860591,0.0148717753165476,0.00871793725452791,"universal",2,4.08,2,"A2",4,"A4",8,"THY",-0.417142857142857
"3",0.448551811082451,0.461420100744652,0.453454016668052,0.409946942095847,0.369503746014642,0.274523512793631,0.0147066167568017,0.00428942988740049,-0.00061277569820007,-0.00919163547300104,"universal",3,4.25,3,"A3",6,"A6",8,"THY",-0.392857142857143
"4",0.45086568846195,0.462777595686837,0.452652474545683,0.410960799258581,0.36807793324899,0.270400294004921,0.0107207165023978,0.0029779768062216,-0.00119119072248864,-0.00714714433493184,"universal",4,4.46,4,"A4",8,"A8",8,"THY",-0.362857142857143
"5",0.451386199616605,0.464560297608487,0.453466320352165,0.410477158483917,0.367487996615669,0.26486870699469,-0.00762710936372143,-0.0152542187274429,-0.0180277130415234,-0.0221879545126442,"universal",5,4.7,5,"A5",10,"A10",8,"THY",-0.328571428571429
"6",0.464148521912884,0.467625289867288,0.450241450095269,0.404174274699421,0.362453059246578,0.260757596580272,-0.00173838397720181,-0.00695353590880724,-0.0112994958518118,-0.0165146477834172,"universal",6,5.07,6,"A6",12,"A12",8,"THY",-0.275714285714286
"7",0.487977834410087,0.476043593894623,0.448197032691873,0.391177883562434,0.346092974948458,0.243988917205043,-0.0106082137915236,-0.0172383474112259,-0.0212164275830473,-0.0344766948224518,"universal",7,5.36,7,"A7",14,"A14",8,"THY",-0.234285714285714
"8",0.573098785388516,0.492709363003701,0.425285976487406,0.33711693258148,0.293032410628517,0.207456573896295,0.0129660358685185,0.0155592430422222,0.00777962152111108,-0.0700165936899997,"universal",8,5.83,8,"A8",16,"A16",8,"THY",-0.167142857142857
"9",0.553556344856265,0.422941926407034,0.342085381652748,0.26744857111033,0.258118969792528,0.239459767156924,0.261228836898462,0.270558438216264,0.242569634262858,-0.043538139483077,"universal",9,6.33,9,"A9",18,"A18",8,"THY",-0.0957142857142857
"10",0.553033277723335,0.407498204638247,0.320177160787194,0.249026680612262,0.245792567877038,0.236090229671365,0.287836033434952,0.294304258905401,0.265197244288383,-0.0873210438510529,"universal",10,6.44,10,"A10",20,"A20",8,"THY",-0.0799999999999999
"11",0.380016925666828,0.296452994368363,0.252681411307262,0.240743706836053,0.258650263542867,0.278546437661549,0.409861186844851,0.425778126139796,0.389965012726169,0.00795846964747284,"universal",11,6.75,11,"A11",22,"A22",8,"THY",-0.0357142857142857
"12",0.320958470934144,0.251660619255181,0.2170116934157,0.224306204118749,0.251660619255181,0.282662289743139,0.444965152885973,0.461377801967832,0.426728876128351,-0.00729451070304874,"universal",12,6.87,12,"A12",24,"A24",8,"THY",-0.0185714285714286
"13",0.44595724802877,0.458797656056176,0.451389728348057,0.410399195029798,0.369408661711539,0.281007391061318,0.0355580529989717,0.0281501252908526,0.024693092360397,0.0187667501939017,"universal",1,3.89,13,"B1",50,"C2",8,"THY",-0.444285714285714
"14",0.445942598493525,0.458825384672227,0.449906532702356,0.411753665942355,0.371618832077937,0.280448345274817,0.029729506566235,0.0222971299246763,0.017837703939741,0.0143692615070136,"universal",2,4.08,14,"B2",52,"C4",8,"THY",-0.417142857142857
"15",0.447080347398085,0.459357153276293,0.449638015289378,0.409738396185201,0.369838777081024,0.281343468042273,0.0368304176346248,0.0281343468042273,0.0250651453346752,0.0184152088173124,"universal",3,4.25,15,"B3",54,"C6",8,"THY",-0.392857142857143
"16",0.448333498260412,0.460499943260694,0.452591754010511,0.411834163259564,0.371076572508618,0.273136690256343,0.0115581227502684,0.00425825575009889,0,-0.00608322250014126,"universal",4,4.46,16,"B4",56,"C8",8,"THY",-0.362857142857143
"17",0.468701095325786,0.470037695407513,0.451770827623904,0.398306824354803,0.356426688460673,0.262864682739747,0.00579193368748594,-0.00356426688460674,-0.00935620057209268,-0.0191579345047612,"universal",5,4.7,17,"B5",58,"C10",8,"THY",-0.328571428571429
"18",0.458282011068248,0.463631606528188,0.449366018635013,0.408352453442135,0.36555568976261,0.261238578293768,-0.0151571871364985,-0.02853117578635,-0.0356639697329376,-0.0463631606528188,"universal",6,5.07,18,"B6",60,"C12",8,"THY",-0.275714285714286
"19",0.499418471722273,0.477136724522356,0.446403280108678,0.382631382950295,0.338067888550462,0.232805841433613,-0.0353434610757301,-0.0407218138481238,-0.0484051749515434,-0.0591618804963308,"universal",7,5.36,19,"B7",62,"C14",8,"THY",-0.234285714285714
"20",0.586583912259343,0.495626280295078,0.419518873957632,0.322992407383309,0.272872895892796,0.18191526392853,-0.0389818422703994,-0.0408381204737518,-0.0482632332871612,-0.129939474234665,"universal",8,5.83,20,"B8",64,"C16",8,"THY",-0.167142857142857
"21",0.653453571310704,0.446846927440407,0.317117174312547,0.196997032527492,0.196997032527492,0.148948975813469,0.177777809841883,0.196997032527492,0.148948975813469,-0.283483534612732,"universal",9,6.33,21,"B9",66,"C18",8,"THY",-0.0957142857142857
"22",0.542377523083495,0.406128096994887,0.317041933783105,0.254157583280671,0.251537402009737,0.241056676925998,0.290840121073758,0.301320846157497,0.275119033448149,-0.0576439879605646,"universal",10,6.44,22,"B10",68,"C20",8,"THY",-0.0799999999999999
"23",0.374682463327623,0.279221963116763,0.229105200506062,0.217172637979705,0.243424275537691,0.267289400590406,0.429572250948867,0.443891325980496,0.405707125896152,-0.0715953751581444,"universal",11,6.75,23,"B11",70,"C22",8,"THY",-0.0357142857142857
"24",0.311744020091347,0.230514944433742,0.188802716393351,0.193193477239708,0.226124183587385,0.261250270358241,0.469811410560198,0.480788312676091,0.436880704212521,-0.120745923274817,"universal",12,6.87,24,"B12",72,"C24",8,"THY",-0.0185714285714286
"25",0.448036542268683,0.459022512921327,0.449469494962506,0.408869168637519,0.368746493210473,0.281336378887265,0.0425109299167514,0.0339132137538129,0.0286590538764616,0.0214942904073462,"universal",1,3.89,25,"C1",98,"E2",8,"THY",-0.444285714285714
"26",0.444345866984601,0.458199606486431,0.447937577225816,0.412020474813666,0.370972357771209,0.284258210519018,0.0389957111903345,0.0312991892448738,0.0277074790036587,0.0225764643733516,"universal",2,4.08,26,"C2",100,"E4",8,"THY",-0.417142857142857
"27",0.446722554696212,0.458837064654076,0.450255953433922,0.410883796070866,0.373025952452543,0.278128957782613,0.0297815036464142,0.0217051636745052,0.0181717649367951,0.0126192812061077,"universal",3,4.25,27,"C3",102,"E6",8,"THY",-0.392857142857143
"28",0.450126746868278,0.461794425163636,0.451969011862282,0.410211005331528,0.369681175463443,0.273269307443907,0.00429861831934236,-0.00491270665067698,-0.0079831483073501,-0.0116676782953578,"universal",4,4.46,28,"C4",104,"E8",8,"THY",-0.362857142857143
"29",0.464038074885764,0.467550188981399,0.451306661289088,0.403454106736062,0.361308737588443,0.261213485862847,-0.00175605704781746,-0.0100973280249504,-0.0144874706444941,-0.022828741621627,"universal",5,4.7,29,"C5",106,"E10",8,"THY",-0.328571428571429
"30",0.470939865242777,0.469538258500983,0.451317370857661,0.392449887702314,0.340590438255937,0.224257078687037,-0.0728835505732869,-0.0854980112494327,-0.0925060449584026,-0.112128539343518,"universal",6,5.07,30,"C6",108,"E12",8,"THY",-0.275714285714286
"31",0.581435506323189,0.472610678936496,0.394878659374572,0.298490955117787,0.245633181815679,0.127480512081555,-0.130589792864032,-0.127480512081555,-0.130589792864032,-0.258070304945586,"universal",8,5.83,32,"C8",112,"E16",8,"THY",-0.167142857142857
"32",0.606971551706608,0.437755240321735,0.331075391839968,0.244627928415087,0.233592082020422,0.209681081498646,0.231752774287978,0.242788620682643,0.215199004695979,-0.114037079411545,"universal",9,6.33,33,"C9",114,"E18",8,"THY",-0.0957142857142857
"33",0.57927994747433,0.407347542972817,0.312123442018132,0.232770024555895,0.230124910640487,0.21425422714804,0.27773696111783,0.288317416779461,0.256576049794566,-0.148126379262842,"universal",10,6.44,34,"C10",116,"E20",8,"THY",-0.0799999999999999
"34",0.367802817687786,0.273494402896046,0.221624774760589,0.214551643651208,0.23577103697935,0.264063561416872,0.438534128781591,0.450322680630558,0.410241604344069,-0.0778044422031854,"universal",11,6.75,35,"C11",118,"E22",8,"THY",-0.0357142857142857
"35",0.300682983557057,0.233222057758999,0.196600412325768,0.212020052508181,0.244786787895809,0.279480978306239,0.462589205472396,0.476081390632007,0.437532290175974,-0.038549100456033,"universal",12,6.87,36,"C12",120,"E24",8,"THY",-0.0185714285714286
"36",0.440794425263181,0.454022982505806,0.447881152357444,0.412447516886127,0.374651639050056,0.291028259337749,0.0477172957680399,0.0307091507418079,0.0207877328098392,0.0118112118237723,"universal",1,3.89,37,"D1",146,"G2",8,"THY",-0.444285714285714
"37",0.440039432099498,0.454270979062613,0.447439836520318,0.41043781441622,0.374005054190647,0.290323558047535,0.0557876640954086,0.0438331646463925,0.0381405458611467,0.0261860464121306,"universal",2,4.08,38,"D2",148,"G4",8,"THY",-0.417142857142857
"38",0.44926852149623,0.459219097830588,0.450263579129666,0.408968687342083,0.37016143963809,0.280108723812157,0.0303492578197897,0.021891267935586,0.0174135085851252,0.00995057633435726,"universal",3,4.25,39,"D3",150,"G6",8,"THY",-0.392857142857143
"39",0.451529643859788,0.462663251516605,0.450911110101076,0.408850814508657,0.368027586433663,0.275247522626857,0.0173189452439371,0.00742240510454447,0.0030926687935602,-0.00371120255227223,"universal",4,4.46,40,"D4",152,"G8",8,"THY",-0.362857142857143
"40",0.465142482138743,0.467750757739521,0.450362253734335,0.402543867720072,0.360376745507494,0.263870548278708,0.000869425200259334,-0.00695540160207466,-0.0108678150032417,-0.0178232166053163,"universal",5,4.7,41,"D5",154,"G10",8,"THY",-0.328571428571429
"41",0.469276573346105,0.471180332264345,0.452142743081947,0.397885613912114,0.352195399874359,0.243681141534692,-0.0447383345786348,-0.0523533702515939,-0.0571127675471933,-0.059968405924553,"universal",6,5.07,42,"D6",156,"G12",8,"THY",-0.275714285714286
"42",0.496361140905819,0.478488890333106,0.445181514265776,0.381816262235246,0.337948010829494,0.233964007497342,-0.0406187513016219,-0.0463053764838489,-0.0487425015619462,-0.0747385023949843,"universal",7,5.36,43,"D7",158,"G14",8,"THY",-0.234285714285714
"43",0.593641070697352,0.42536486168078,0.313180722336398,0.238391296106811,0.229042617828112,0.21268243084039,0.257088652664208,0.266437330942906,0.240728465676485,-0.137893004610802,"universal",9,6.33,45,"D9",162,"G18",8,"THY",-0.0957142857142857
"44",0.545274585740627,0.391479189762501,0.290114042413282,0.223702394150001,0.230693093967188,0.227197744058594,0.314581491773439,0.321572191590626,0.286618692504688,-0.160786095795313,"universal",10,6.44,46,"D10",164,"G20",8,"THY",-0.0799999999999999
"45",0.353686065292693,0.249074693868094,0.194278261217113,0.194278261217113,0.219185730603923,0.249074693868094,0.455806689778612,0.468260424472016,0.420936232637079,-0.151935563259537,"universal",11,6.75,47,"D11",166,"G22",8,"THY",-0.0357142857142857
"46",0.289934071322974,0.224918552299034,0.196803733261655,0.212618318970181,0.247761842766905,0.282905366563629,0.46740886649643,0.476194747445611,0.439294047459051,-0.0421722285560689,"universal",12,6.87,48,"D12",168,"G24",8,"THY",-0.0185714285714286
"47",0.267456786189565,0.224402766949294,0.208746759952831,0.23353543769723,0.264847451690155,0.300073467432195,0.457938204646524,0.46968020989387,0.43445419415183,0.0273980122438091,"universal",13,7.07,49,"E1",194,"I2",8,"THY",0.01
"48",0.206062733387374,0.184678864828307,0.182734876777483,0.224530619870205,0.261466392835866,0.302290141903176,0.480165048553598,0.491828976858544,0.454893203892883,0.0223558625844793,"universal",14,7.37,50,"E2",196,"I4",8,"THY",0.0528571428571429
"49",0.161589887840291,0.154364323749872,0.164217365691353,0.219394400563648,0.260120307255103,0.304787430723151,0.491995227611294,0.504475747403836,0.466377318563443,0.0183923449574315,"universal",15,7.92,51,"E3",198,"I6",8,"THY",0.131428571428571
"50",0.136700832617372,0.136700832617372,0.150842298060549,0.215488997229355,0.259260199791568,0.305051611702806,0.499665112325567,0.511786368419719,0.470708778322873,0.00269361246536694,"universal",16,8.35,52,"E4",200,"I8",8,"THY",0.192857142857143
"51",0.12785493198506,0.129840257015884,0.147311117287134,0.214812168335147,0.258092254007108,0.302960599703729,0.499904842761461,0.513802117977228,0.476080942391574,0.00158826002465913,"universal",17,8.65,53,"E5",202,"I10",8,"THY",0.235714285714286
"52",0.121679075790139,0.128798596182116,0.150804386484588,0.232355256429043,0.272483462274727,0.311964438993868,0.496424740058707,0.507427635209943,0.464710512858085,-0.0207113320493854,"universal",18,8.9,54,"E6",204,"I12",8,"THY",0.271428571428571
"53",0.121443359220296,0.129907593347771,0.153092234653464,0.237734575928216,0.280423756745047,0.312072632178215,0.490189559034649,0.504541956033411,0.466268897370045,-0.0117763257425741,"universal",19,9.11,55,"E7",206,"I14",8,"THY",0.301428571428571
"54",0.131473820328919,0.149087537884946,0.183056850314428,0.295029769063459,0.329628142834228,0.333402510881948,0.461101963163147,0.471166944623734,0.429648896098812,-0.0301949443817613,"universal",20,9.32,56,"E8",208,"I16",8,"THY",0.331428571428571
"55",0.142586534186719,0.160051953032883,0.192978562333029,0.302638487219603,0.33642405154497,0.335278778178008,0.449806114874168,0.461831485227265,0.428904875927119,-0.00744427688525039,"universal",21,9.52,57,"E9",210,"I18",8,"THY",0.36
"56",0.159927638016829,0.184752226604516,0.227240464764211,0.359479138587081,0.382394143437254,0.352318199571402,0.410083107631212,0.418198838515648,0.381916747502875,-0.0124122942938434,"universal",22,9.64,58,"E10",212,"I20",8,"THY",0.377142857142857
"57",0.163823132064908,0.19273309654695,0.238163040733017,0.382253974818118,0.401527284472813,0.357474005262081,0.391431741320353,0.39831506619703,0.363439553488534,-0.0142255380784654,"universal",23,9.75,59,"E11",214,"I22",8,"THY",0.392857142857143
